External Transaction Id,Client Id,Security Id,Transaction Type,Transaction Date,Market Value,Priority Flag
SAPEXTXN1,GS,ICICI,BUY,23/11/13,101.9,Y
SAPEXTXN2,AS,REL,SELL,20/11/13,121.9,N
SAPEXTXN3,AP,HINDALCO,DEPOSIT,19/11/13,120,Y
SAPEXTXN4,HJ,RELIND,WITHDRAW,30/11/13,230,N
SAPEXTXN5,GS,RELIND,WITHDRAW,26/11/13,330,Y
SAPEXTXN6,AP,ICICI,SELL,25/11/13,100,Y
SAPEXTXN7,AS,REL,BUY,06/11/13,121.1,N
SAPEXTXN8,AS,REL,SELL,06/11/13,300,Y
SAPEXTXN9,AP,ICICI,BUY,12/11/13,400,Y
SAPEXTXN10,AS,REL,SELL,13/11/13,521.1,N
SAPEXTXN11,GS,ICICI,WITHDRAW,01/11/13,101.9,Y
SAPEXTXN12,AS,REL,DEPOSIT,02/11/13,121.9,N
SAPEXTXN13,AP,HINDALCO,BUY,03/11/13,110,Y
SAPEXTXN14,HJ,RELIND,SELL,04/11/13,330,N
SAPEXTXN15,GS,RELIND,WITHDRAW,05/11/13,430,Y
SAPEXTXN16,AP,ICICI,DEPOSIT,06/11/13,500,Y
SAPEXTXN17,AS,REL,SELL,07/11/13,621.1,N
SAPEXTXN18,GS,RELIND,BUY,08/11/13,500,Y
SAPEXTXN19,AP,ICICI,BUY,09/11/13,100,Y
SAPEXTXN20,AS,REL,SELL,10/11/13,721.1,N
SAPEXTXN21,GS,RELIND,WITHDRAW,05/11/13,430,Y
